,"episode","week","Total_hosp","new_hosp","new_deaths","H_term","D_term","Lockdown_term","reward","action","delta","k0","error","initial_stage"
10390,1731,18,21441.0514449423,43.5446769702758,88.136200723126,217.723384851379,88.136200723126,325.805489358254,-631.665074932759,75,0.6,0.9,"False","bad"
10391,1731,20,10827.1140817591,4.80751732267599,12.5615619361879,24.0375866133799,12.5615619361879,203.826792943108,-240.425941492676,1,0,0.1,"False","bad"
10392,1732,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,87,0,0,"False","med"
10393,1732,12,146233.382395965,189997.924451894,28456.8257722192,949989.622259471,28456.8257722192,193.883362247825,-978640.331393938,2,0,0.2,"False","med"
10394,1732,14,150376.865219687,129552.293678185,35897.3136788522,647761.468390925,35897.3136788522,225.603624292003,-683884.385694069,81,0.7,0.4,"False","med"
10395,1732,16,92884.6271509648,34573.349899013,18029.5517338464,172866.749495065,18029.5517338464,182.623396505332,-191078.924625417,56,0.5,0.1,"False","med"
10396,1732,18,54438.4129949012,15048.8639455441,6318.91283918061,75244.3197277204,6318.91283918061,165.967418443453,-81729.1999853445,0,0,0,"False","med"
10397,1732,20,32821.9808186711,9432.88267492587,3139.86942297612,47164.4133746293,3139.86942297612,163.793655439321,-50468.0764530448,8,0,0.8,"False","med"
10398,1733,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,103,0,0,"False","med"
10399,1733,12,111121.424152724,131652.873024632,25237.3063498854,658264.365123161,25237.3063498854,261.075374438597,-683762.746847485,7,0,0.7,"False","med"
10400,1733,14,87251.3265867542,56052.6073580464,18162.3201323715,280263.036790232,18162.3201323715,194.438552319844,-298619.795474923,13,0.1,0.2,"False","med"
10401,1733,16,62422.7301344964,32432.8331162459,10519.3249160257,162164.165581229,10519.3249160257,248.504477082498,-172931.994974338,6,0,0.6,"False","med"
10402,1733,18,37294.9000805864,10987.2934643358,4645.55458613457,54936.4673216791,4645.55458613457,141.22384498727,-59723.2457528009,5,0,0.5,"False","med"
10403,1733,20,22431.6316423253,6538.95994365968,1953.49379855398,32694.7997182984,1953.49379855398,161.569468539854,-34809.8629853923,2,0,0.2,"False","med"
10404,1734,10,319914.281494343,164084.325638713,88531.5262166299,820421.628193563,88531.5262166299,165.967418443453,-909119.121828636,51,0,0,"False","bad"
10405,1734,12,166190.789253719,18949.4995254556,21320.3630666395,94747.4976272779,21320.3630666395,235.373074978783,-116303.233768896,5,0,0.5,"False","bad"
10406,1734,14,83985.2912816175,2272.30890767117,3721.23786557126,11361.5445383558,3721.23786557126,141.556959030481,-15224.3393629576,16,0.1,0.5,"False","bad"
10407,1734,16,42375.8969037317,291.17920804934,586.133370062207,1455.8960402467,586.133370062207,273.354924790748,-2315.38433509965,6,0,0.6,"False","bad"
10408,1734,18,21392.1208955764,37.8304844908619,87.5090306343684,189.15242245431,87.5090306343684,281.638407360165,-558.299860448843,6,0,0.6,"False","bad"
10409,1734,20,10804.794570173,8.63321983537431,13.0771547613571,43.1660991768715,13.0771547613571,188.096407569247,-244.339661507475,0,0,0,"False","bad"
10410,1735,10,319914.281494343,164084.325638713,88531.5262166299,820421.628193563,88531.5262166299,165.967418443453,-909119.121828636,45,0,0,"False","bad"
10411,1735,12,166896.94570482,20056.0783874875,21410.1367999762,100280.391937437,21410.1367999762,207.919554251731,-121898.448291665,3,0,0.3,"False","bad"
10412,1735,14,84857.435774854,3150.93203457606,3995.26988698945,15754.6601728803,3995.26988698945,118.898545523625,-19868.8286053934,90,0.8,0.2,"False","bad"
10413,1735,16,42838.1230185901,390.201519888214,704.923478747321,1951.00759944107,704.923478747321,228.711509676904,-2884.6425878653,3,0,0.3,"False","bad"
10414,1735,18,21620.124348465,43.1196538738713,109.35779099266,215.598269369357,109.35779099266,327.66980224607,-652.625862608087,76,0.6,1,"False","bad"
10415,1735,20,10915.5169136288,3.14754035330635,14.5958525171992,15.7377017665318,14.5958525171992,235.642161485295,-265.975715769026,3,0,0.3,"False","bad"
10416,1736,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,47,0,0,"False","med"
10417,1736,12,131037.529457037,164409.048115376,27137.7462441353,822045.24057688,27137.7462441353,221.799306052197,-849404.786127068,4,0,0.4,"False","med"
10418,1736,14,113761.710339349,82902.7137292331,26823.4832584989,414513.568646165,26823.4832584989,250.182562514829,-441587.234467179,39,0.3,0.6,"False","med"
10419,1736,16,68737.6838993391,22736.7239727552,11233.9949992658,113683.619863776,11233.9949992658,221.799306052197,-125139.414169094,4,0,0.4,"False","med"
10420,1736,18,39876.389961434,9811.29560548897,4042.1513205394,49056.4780274449,4042.1513205394,141.22384498727,-53239.8531929715,5,0,0.5,"False","med"
10421,1736,20,22925.0532373393,5103.97307937371,1691.71687701483,25519.8653968686,1691.71687701483,173.266295209776,-27384.8485690932,3,0,0.3,"False","med"
10422,1737,10,28.5239789247833,50.8487120011643,7.29137387950124,50.8487120011643,7.29137387950124,276.612364072422,-334.752449953087,35,0,0,"False","good"
10423,1737,12,67.1520823814692,90.2582787771831,11.7767635207783,90.2582787771831,11.7767635207783,300.670600526563,-402.705642824524,12,0.1,0.1,"False","good"
10424,1737,14,142.211171936876,178.550821309597,26.1171473377524,178.550821309597,26.1171473377524,369.665510086995,-574.333478734344,4,0,0.4,"False","good"
10425,1737,16,143.630414008962,120.751386948841,32.5481641141981,120.751386948841,32.5481641141981,473.623249068555,-626.922800131594,9,0,0.9,"False","good"
10426,1737,18,85.5341539221831,26.1111729921996,13.2315330191176,26.1111729921996,13.2315330191176,435.125624064329,-474.468330075646,7,0,0.7,"False","good"
10427,1737,20,49.0806647754158,11.1178086757343,4.41178452637435,11.1178086757343,4.41178452637435,414.174128470831,-429.703721672939,6,0,0.6,"False","good"
10428,1738,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,35,0,0,"False","med"
10429,1738,12,123999.04266643,152709.790924686,26493.016296811,763548.954623431,26493.016296811,235.373074978783,-790277.343995221,5,0,0.5,"False","med"
10430,1738,14,109765.766583565,82137.2598724724,24295.0044513876,410686.299362362,24295.0044513876,209.036192003906,-435190.340005754,25,0.2,0.3,"False","med"
10431,1738,16,75727.6299565041,37003.761860202,13603.1952045842,185018.80930101,13603.1952045842,235.373074978783,-198857.377580573,5,0,0.5,"False","med"
10432,1738,18,44076.9660230116,11471.1013464885,5551.96363933622,57355.5067324426,5551.96363933622,261.075374438597,-63168.5457462174,7,0,0.7,"False","med"
10433,1738,20,24246.4080310061,3982.81244092942,1730.44732536159,19914.0622046471,1730.44732536159,161.569468539854,-21806.0789985485,2,0,0.2,"False","med"
10434,1739,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,35,0,0,"False","med"
10435,1739,12,117357.262183024,141787.044954279,25859.3134392954,708935.224771397,25859.3134392954,248.504477082498,-735043.042687774,6,0,0.6,"False","med"
10436,1739,14,88472.2952515897,52860.3023166546,20051.7755489521,264301.511583273,20051.7755489521,249.059667154517,-284602.346799379,17,0.1,0.6,"False","med"
10437,1739,16,55689.5844366643,20942.8724423061,7934.88606023536,104714.362211531,7934.88606023536,180.963807996094,-112830.212079762,23,0.2,0.1,"False","med"
10438,1739,18,41498.3779672593,23371.6268838219,4832.04437995938,116858.13441911,4832.04437995938,99.5804510660718,-121789.759250135,0,0,0,"False","med"
10439,1739,20,42122.6938824769,35331.1351515679,6042.44225110934,176655.675757839,6042.44225110934,193.883362247825,-182892.001371196,2,0,0.2,"False","med"
10440,1740,10,319914.281494343,164084.325638713,88531.5262166299,820421.628193563,88531.5262166299,165.967418443453,-909119.121828636,35,0,0,"False","bad"
10441,1740,12,165850.414648556,18419.1786271094,21275.6840589264,92095.8931355472,21275.6840589264,248.504477082498,-113620.081671556,6,0,0.6,"False","bad"
10442,1740,14,83537.80601378,1805.60331249234,3591.04518925613,9028.0165624617,3591.04518925613,156.645224663159,-12775.706976381,7,0,0.7,"False","bad"
10443,1740,16,42095.9012066601,177.001055054588,518.529124039057,885.005275272938,518.529124039057,273.354924790748,-1676.88932410274,6,0,0.6,"False","bad"
10444,1740,18,21246.8841454078,23.1880703827637,71.7442957235169,115.940351913818,71.7442957235169,295.885424363744,-483.570072001079,7,0,0.7,"False","bad"
10445,1740,20,10729.4404601168,3.68823976054139,9.86758191691485,18.441198802707,9.86758191691485,235.642161485295,-263.950942204917,3,0,0.3,"False","bad"
10446,1741,10,319914.281494343,164084.325638713,88531.5262166299,820421.628193563,88531.5262166299,165.967418443453,-909119.121828636,86,0,0,"False","bad"
10447,1741,12,166896.94570482,20056.0783874875,21410.1367999762,100280.391937437,21410.1367999762,207.919554251731,-121898.448291665,3,0,0.3,"False","bad"
10448,1741,14,84803.7910949937,3067.94451419438,3986.23444079931,15339.7225709719,3986.23444079931,127.320260725969,-19453.2772724972,91,0.8,0.3,"False","bad"
10449,1741,16,42798.0779882418,361.920944663844,686.637488811014,1809.60472331922,686.637488811014,228.711509676904,-2724.95372180714,3,0,0.3,"False","bad"
10450,1741,18,21614.3923766735,63.2015739180071,107.810416014942,316.007869590035,107.810416014942,186.748910351585,-610.567195956562,77,0.7,0,"False","bad"
10451,1741,20,10917.6098143132,12.4960639461459,18.7573193961047,62.4803197307297,18.7573193961047,235.642161485295,-316.87980061213,3,0,0.3,"False","bad"
10452,1742,10,28.5239789247833,50.8487120011643,7.29137387950124,50.8487120011643,7.29137387950124,276.612364072422,-334.752449953087,46,0,0,"False","good"
10453,1742,12,47.9263057992965,55.9531979924001,10.2707213002094,55.9531979924001,10.2707213002094,392.288458297972,-458.512377590582,5,0,0.5,"False","good"
10454,1742,14,44.0667906063944,33.7904753800261,9.59716929953607,33.7904753800261,9.59716929953607,457.779185274221,-501.166829953783,41,0.3,0.8,"False","good"
10455,1742,16,29.2360743259835,12.9561488281382,4.40692658642537,12.9561488281382,4.40692658642537,369.665510086995,-387.028585501559,4,0,0.4,"False","good"
10456,1742,18,24.6586697619131,16.7274794813254,3.11493404098295,16.7274794813254,3.11493404098295,304.372327508887,-324.214741031195,56,0.5,0.1,"False","good"
10457,1742,20,25.1369960843102,21.8755443250773,4.02962348495372,21.8755443250773,4.02962348495372,323.138937079708,-349.04410488974,2,0,0.2,"False","good"
10458,1743,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,46,0,0,"False","med"
10459,1743,12,138456.607236705,176854.587939799,27792.6743508408,884272.939698997,27792.6743508408,207.919554251731,-912273.533604089,3,0,0.3,"False","med"
10460,1743,14,121781.037640096,90191.7715678132,29855.7202102273,450958.857839066,29855.7202102273,275.222701236551,-481089.80075053,52,0.4,0.8,"False","med"
10461,1743,16,72871.8977054396,23530.0843654347,10980.4100208532,117650.421827174,10980.4100208532,165.967418443453,-128796.79926647,0,0,0,"False","med"
10462,1743,18,45881.1702645387,16005.870075934,5253.89007612392,80029.3503796697,5253.89007612392,272.989425732202,-85556.2298815259,8,0,0.8,"False","med"
10463,1743,20,24857.3552338266,3532.03564922482,1936.63806294813,17660.1782461241,1936.63806294813,196.144229148986,-19792.9605382212,5,0,0.5,"False","med"
10464,1744,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,46,0,0,"False","med"
10465,1744,12,131037.529457037,164409.048115376,27137.7462441353,822045.24057688,27137.7462441353,221.799306052197,-849404.786127068,4,0,0.4,"False","med"
10466,1744,14,110624.144546749,77932.9331181056,26435.0200085491,389664.665590528,26435.0200085491,262.753459870929,-416362.439058948,40,0.3,0.7,"False","med"
10467,1744,16,68841.8346965198,25643.3712933471,10363.75596576,128216.856466735,10363.75596576,165.967418443453,-138746.579850939,0,0,0,"False","med"
10468,1744,18,47368.8796166901,21618.7177704327,5890.54657921185,108093.588852164,5890.54657921185,248.504477082498,-114232.639908458,6,0,0.6,"False","med"
10469,1744,20,26464.9938653984,5178.3098800546,2869.11277907744,25891.549400273,2869.11277907744,245.483463383297,-29006.1456427338,10,0,1,"False","med"
10470,1745,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,46,0,0,"False","med"
